SITE,AREA,GYR,PARA,FRAC,CORE,ECON
4,86.68,495.9977,94.8316,1.1158,67.69,68.747
5,86.68,495.9977,94.8316,1.1158,67.69,68.747
6,1855.02,2453.3252,61.7028,1.2263,1592.92,70.4403
7,16.4,254.6909,204.878,1.1215,8.77,67.4702
8,108.14,626.4768,89.8835,1.1222,86.63,61.5329
9,16.3,157.7686,136.1963,1.053,11.66,56.5766
10,190.43,682.9702,77.6138,1.1362,157.91,37.3748
11,19.73,254.9799,181.4496,1.1149,11.81,54.4134
12,190.43,682.9702,77.6138,1.1362,157.91,37.3748
13,24.93,213.7392,123.5459,1.0697,18.6,61.2987
14,219.84,670.646,78.1477,1.1457,181.47,81.6647
15,92.95,471.9942,76.3852,1.0888,77.23,81.8732
16,92.95,471.9942,76.3852,1.0888,77.23,81.8732
17,54.34,429.1291,148.6934,1.1527,36.07,62.6114
18,6.3,132.7871,279.3651,1.1016,2.7,58.5227
19,54.34,429.1291,148.6934,1.1527,36.07,62.6114
20,1855.02,2453.3252,61.7028,1.2263,1592.92,70.4403
23,86.68,495.9977,94.8316,1.1158,67.69,68.747
24,51.7,376.0654,105.2224,1.0969,40.07,63.125
25,51.7,376.0654,105.2224,1.0969,40.07,63.125
26,151.2,678.5565,100,1.1578,118.05,56.1243
27,190.43,682.9702,77.6138,1.1362,157.91,37.3748
37,7.14,108.3634,232.493,1.0788,3.77,62.6506
38,151.2,678.5565,100,1.1578,118.05,56.1243